run_id,generated_at,start_date,end_date,seed,generator_version
RUN00000001,2026-02-10T00:00:00+09:00,2026-02-10,2026-02-12,42,0.1.0
RUN00000002,2025-01-01T00:00:00+09:00,2025-01-01,2026-01-01,42,0.1.0
RUN00000003,2026-03-07T00:00:00+09:00,2026-03-07,2026-03-08,42,0.1.0
RUN00000004,2026-03-08T00:00:00+09:00,2026-03-08,2026-03-09,42,0.1.0
RUN00000005,2026-03-09T00:00:00+09:00,2026-03-09,2026-03-10,42,0.1.0
RUN00000006,2026-03-10T00:00:00+09:00,2026-03-10,2026-03-11,42,0.1.0
RUN00000007,2026-03-11T00:00:00+09:00,2026-03-11,2026-03-12,42,0.1.0
RUN00000008,2026-03-12T00:00:00+09:00,2026-03-12,2026-03-13,42,0.1.0
RUN00000009,2026-03-13T00:00:00+09:00,2026-03-13,2026-03-14,42,0.1.0
RUN00000010,2026-03-14T00:00:00+09:00,2026-03-14,2026-03-15,42,0.1.0
RUN00000011,2026-03-15T00:00:00+09:00,2026-03-15,2026-03-16,42,0.1.0
RUN00000012,2026-03-16T00:00:00+09:00,2026-03-16,2026-03-17,42,0.1.0
RUN00000013,2026-03-17T00:00:00+09:00,2026-03-17,2026-03-18,42,0.1.0
RUN00000014,2026-03-18T00:00:00+09:00,2026-03-18,2026-03-19,42,0.1.0
RUN00000015,2026-03-19T00:00:00+09:00,2026-03-19,2026-03-20,42,0.1.0
RUN00000016,2026-03-20T00:00:00+09:00,2026-03-20,2026-03-21,42,0.1.0
RUN00000017,2026-03-21T00:00:00+09:00,2026-03-21,2026-03-22,42,0.1.0
RUN00000018,2026-03-22T00:00:00+09:00,2026-03-22,2026-03-23,42,0.1.0
RUN00000019,2026-03-23T00:00:00+09:00,2026-03-23,2026-03-24,42,0.1.0
RUN00000020,2026-03-24T00:00:00+09:00,2026-03-24,2026-03-25,42,0.1.0
RUN00000021,2026-03-25T00:00:00+09:00,2026-03-25,2026-03-26,42,0.1.0
RUN00000022,2026-03-26T00:00:00+09:00,2026-03-26,2026-03-27,42,0.1.0
RUN00000023,2026-03-27T00:00:00+09:00,2026-03-27,2026-03-28,42,0.1.0
RUN00000024,2026-03-28T00:00:00+09:00,2026-03-28,2026-03-29,42,0.1.0
RUN00000025,2026-03-29T00:00:00+09:00,2026-03-29,2026-03-30,42,0.1.0
RUN00000026,2026-03-30T00:00:00+09:00,2026-03-30,2026-03-31,42,0.1.0
RUN00000027,2026-03-31T00:00:00+09:00,2026-03-31,2026-04-01,42,0.1.0
RUN00000028,2026-04-01T00:00:00+09:00,2026-04-01,2026-04-02,42,0.1.0
RUN00000029,2026-04-02T00:00:00+09:00,2026-04-02,2026-04-03,42,0.1.0
RUN00000030,2026-04-03T00:00:00+09:00,2026-04-03,2026-04-04,42,0.1.0
RUN00000031,2026-04-04T00:00:00+09:00,2026-04-04,2026-04-05,42,0.1.0
RUN00000032,2026-04-05T00:00:00+09:00,2026-04-05,2026-04-06,42,0.1.0
RUN00000033,2026-04-06T00:00:00+09:00,2026-04-06,2026-04-07,42,0.1.0
RUN00000034,2026-04-07T00:00:00+09:00,2026-04-07,2026-04-08,42,0.1.0
RUN00000035,2026-04-08T00:00:00+09:00,2026-04-08,2026-04-09,42,0.1.0
