menu_price_hist_id,menu_item_id,price_yen,effective_from,effective_to
MPH00000001,M001,680,2020-01-01,2099-12-31
MPH00000002,M002,780,2020-01-01,2099-12-31
MPH00000003,M003,520,2020-01-01,2099-12-31
MPH00000004,M004,980,2020-01-01,2099-12-31
MPH00000005,M005,390,2020-01-01,2099-12-31
MPH00000006,M006,450,2020-01-01,2099-12-31
MPH00000007,M101,620,2020-01-01,2099-12-31
MPH00000008,M102,720,2020-01-01,2099-12-31
MPH00000009,M103,760,2020-01-01,2099-12-31
MPH00000010,M104,800,2020-01-01,2099-12-31
MPH00000011,M201,580,2020-01-01,2099-12-31
MPH00000012,M202,980,2020-01-01,2099-12-31
MPH00000013,M203,520,2020-01-01,2099-12-31
