order_id,visit_id,ordered_at,channel,order_seq_in_visit
O00000001,V00000001,2026-02-10T15:15:59+09:00,tablet,1
O00000002,V00000002,2026-02-10T19:50:06+09:00,tablet,1
O00000003,V00000002,2026-02-10T20:49:22+09:00,tablet,2
O00000004,V00000003,2026-02-10T21:05:02+09:00,tablet,1
O00000005,V00000003,2026-02-10T21:32:44+09:00,tablet,2
O00000006,V00000004,2026-02-10T20:25:57+09:00,tablet,1
O00000007,V00000005,2026-02-10T08:29:34+09:00,tablet,1
O00000008,V00000005,2026-02-10T08:51:48+09:00,tablet,2
O00000009,V00000005,2026-02-10T09:23:32+09:00,tablet,3
O00000010,V00000006,2026-02-10T08:34:02+09:00,tablet,1
O00000011,V00000006,2026-02-10T08:38:10+09:00,tablet,2
O00000012,V00000006,2026-02-10T09:20:54+09:00,tablet,3
O00000013,V00000007,2026-02-10T11:00:22+09:00,tablet,1
O00000014,V00000007,2026-02-10T11:42:01+09:00,tablet,2
O00000015,V00000008,2026-02-10T07:47:40+09:00,tablet,1
O00000016,V00000008,2026-02-10T08:24:25+09:00,tablet,2
O00000017,V00000008,2026-02-10T08:27:01+09:00,tablet,3
O00000018,V00000009,2026-02-10T13:18:06+09:00,tablet,1
O00000019,V00000009,2026-02-10T13:42:13+09:00,tablet,2
O00000020,V00000009,2026-02-10T14:10:11+09:00,tablet,3
O00000021,V00000010,2026-02-10T22:03:20+09:00,tablet,1
O00000022,V00000011,2026-02-10T16:42:04+09:00,tablet,1
O00000023,V00000011,2026-02-10T16:58:34+09:00,tablet,2
O00000024,V00000012,2026-02-10T13:02:58+09:00,tablet,1
O00000025,V00000012,2026-02-10T13:11:56+09:00,tablet,2
O00000026,V00000013,2026-02-10T12:13:59+09:00,tablet,1
O00000027,V00000014,2026-02-10T14:14:27+09:00,tablet,1
O00000028,V00000015,2026-02-10T10:28:38+09:00,tablet,1
O00000029,V00000015,2026-02-10T11:51:19+09:00,tablet,2
O00000030,V00000015,2026-02-10T12:07:15+09:00,tablet,3
O00000031,V00000016,2026-02-10T17:33:46+09:00,tablet,1
O00000032,V00000017,2026-02-10T10:08:20+09:00,tablet,1
O00000033,V00000017,2026-02-10T10:32:33+09:00,tablet,2
O00000034,V00000017,2026-02-10T11:23:21+09:00,tablet,3
O00000035,V00000018,2026-02-10T12:24:18+09:00,tablet,1
O00000036,V00000018,2026-02-10T13:54:01+09:00,tablet,2
O00000037,V00000019,2026-02-10T11:16:15+09:00,tablet,1
O00000038,V00000020,2026-02-10T16:17:59+09:00,tablet,1
O00000039,V00000020,2026-02-10T16:57:17+09:00,tablet,2
O00000040,V00000021,2026-02-10T16:40:27+09:00,tablet,1
O00000041,V00000021,2026-02-10T17:54:01+09:00,tablet,2
O00000042,V00000022,2026-02-10T11:21:10+09:00,tablet,1
O00000043,V00000022,2026-02-10T11:41:25+09:00,tablet,2
O00000044,V00000022,2026-02-10T11:44:23+09:00,tablet,3
O00000045,V00000023,2026-02-10T18:15:38+09:00,tablet,1
O00000046,V00000024,2026-02-10T15:35:33+09:00,tablet,1
O00000047,V00000024,2026-02-10T15:55:01+09:00,tablet,2
O00000048,V00000025,2026-02-10T17:27:59+09:00,tablet,1
O00000049,V00000026,2026-02-10T14:10:04+09:00,tablet,1
O00000050,V00000026,2026-02-10T14:35:40+09:00,tablet,2
O00000051,V00000027,2026-02-10T17:00:14+09:00,tablet,1
O00000052,V00000028,2026-02-10T18:58:21+09:00,tablet,1
O00000053,V00000028,2026-02-10T19:15:43+09:00,tablet,2
O00000054,V00000029,2026-02-10T08:19:00+09:00,tablet,1
O00000055,V00000029,2026-02-10T09:45:59+09:00,tablet,2
O00000056,V00000030,2026-02-10T10:56:48+09:00,tablet,1
O00000057,V00000031,2026-02-10T16:00:47+09:00,tablet,1
O00000058,V00000031,2026-02-10T16:14:51+09:00,tablet,2
O00000059,V00000031,2026-02-10T16:42:09+09:00,tablet,3
O00000060,V00000032,2026-02-10T15:47:46+09:00,tablet,1
O00000061,V00000033,2026-02-11T16:37:44+09:00,tablet,1
O00000062,V00000033,2026-02-11T16:40:54+09:00,tablet,2
O00000063,V00000033,2026-02-11T18:18:58+09:00,tablet,3
O00000064,V00000034,2026-02-11T18:58:15+09:00,tablet,1
O00000065,V00000034,2026-02-11T19:34:14+09:00,tablet,2
O00000066,V00000035,2026-02-11T17:49:08+09:00,tablet,1
O00000067,V00000036,2026-02-11T07:58:45+09:00,tablet,1
O00000068,V00000036,2026-02-11T09:42:53+09:00,tablet,2
O00000069,V00000037,2026-02-11T17:29:07+09:00,tablet,1
O00000070,V00000037,2026-02-11T18:30:37+09:00,tablet,2
O00000071,V00000038,2026-02-11T13:44:39+09:00,tablet,1
O00000072,V00000038,2026-02-11T14:28:35+09:00,tablet,2
O00000073,V00000039,2026-02-11T13:54:37+09:00,tablet,1
O00000074,V00000039,2026-02-11T14:08:46+09:00,tablet,2
O00000075,V00000039,2026-02-11T14:43:29+09:00,tablet,3
O00000076,V00000040,2026-02-11T10:41:54+09:00,tablet,1
O00000077,V00000040,2026-02-11T10:49:52+09:00,tablet,2
O00000078,V00000041,2026-02-11T13:47:04+09:00,tablet,1
O00000079,V00000041,2026-02-11T13:52:09+09:00,tablet,2
O00000080,V00000041,2026-02-11T14:28:50+09:00,tablet,3
O00000081,V00000042,2026-02-11T09:42:10+09:00,tablet,1
O00000082,V00000042,2026-02-11T10:18:18+09:00,tablet,2
O00000083,V00000043,2026-02-11T21:07:30+09:00,tablet,1
O00000084,V00000043,2026-02-11T21:45:04+09:00,tablet,2
O00000085,V00000044,2026-02-11T20:01:39+09:00,tablet,1
O00000086,V00000044,2026-02-11T20:10:24+09:00,tablet,2
O00000087,V00000045,2026-02-11T19:45:53+09:00,tablet,1
O00000088,V00000045,2026-02-11T19:58:09+09:00,tablet,2
O00000089,V00000045,2026-02-11T20:11:56+09:00,tablet,3
O00000090,V00000046,2026-02-11T11:59:51+09:00,tablet,1
O00000091,V00000047,2026-02-11T15:07:20+09:00,tablet,1
O00000092,V00000047,2026-02-11T15:58:30+09:00,tablet,2
O00000093,V00000048,2026-02-11T11:03:26+09:00,tablet,1
O00000094,V00000048,2026-02-11T11:18:42+09:00,tablet,2
O00000095,V00000048,2026-02-11T11:27:53+09:00,tablet,3
O00000096,V00000049,2026-02-11T13:49:03+09:00,tablet,1
O00000097,V00000049,2026-02-11T14:14:07+09:00,tablet,2
O00000098,V00000049,2026-02-11T14:21:45+09:00,tablet,3
O00000099,V00000050,2026-02-11T10:31:01+09:00,tablet,1
O00000100,V00000050,2026-02-11T11:55:38+09:00,tablet,2
O00000101,V00000050,2026-02-11T12:06:37+09:00,tablet,3
O00000102,V00000051,2026-02-11T11:07:59+09:00,tablet,1
O00000103,V00000051,2026-02-11T11:31:36+09:00,tablet,2
O00000104,V00000052,2026-02-11T16:24:36+09:00,tablet,1
O00000105,V00000052,2026-02-11T17:39:20+09:00,tablet,2
O00000106,V00000053,2026-02-11T11:35:25+09:00,tablet,1
O00000107,V00000053,2026-02-11T12:50:02+09:00,tablet,2
O00000108,V00000054,2026-02-11T10:32:25+09:00,tablet,1
O00000109,V00000054,2026-02-11T11:31:10+09:00,tablet,2
O00000110,V00000054,2026-02-11T11:44:52+09:00,tablet,3
O00000111,V00000055,2026-02-11T14:06:40+09:00,tablet,1
O00000112,V00000055,2026-02-11T14:22:00+09:00,tablet,2
O00000113,V00000055,2026-02-11T14:56:00+09:00,tablet,3
O00000114,V00000056,2026-02-11T09:44:49+09:00,tablet,1
O00000115,V00000057,2026-02-11T08:31:49+09:00,tablet,1
O00000116,V00000058,2026-02-11T17:30:45+09:00,tablet,1
O00000117,V00000058,2026-02-11T17:35:18+09:00,tablet,2
O00000118,V00000058,2026-02-11T18:03:08+09:00,tablet,3
O00000119,V00000059,2026-02-11T13:03:58+09:00,tablet,1
O00000120,V00000059,2026-02-11T13:45:04+09:00,tablet,2
O00000121,V00000059,2026-02-11T13:49:53+09:00,tablet,3
O00000122,V00000060,2026-02-11T14:05:07+09:00,tablet,1
O00000123,V00000061,2026-02-11T10:07:54+09:00,tablet,1
O00000124,V00000062,2026-02-11T10:02:26+09:00,tablet,1
O00000125,V00000063,2026-02-11T08:57:03+09:00,tablet,1
O00000126,V00000063,2026-02-11T09:18:21+09:00,tablet,2
O00000127,V00000063,2026-02-11T09:26:05+09:00,tablet,3
O00000128,V00000064,2026-02-11T10:30:22+09:00,tablet,1
O00000129,V00000065,2026-02-11T09:12:02+09:00,tablet,1
O00000130,V00000066,2026-02-11T12:30:16+09:00,tablet,1
O00000131,V00000066,2026-02-11T12:50:28+09:00,tablet,2
O00000132,V00000066,2026-02-11T13:11:28+09:00,tablet,3
O00000133,V00000067,2026-02-11T16:16:23+09:00,tablet,1
O00000134,V00000067,2026-02-11T17:15:21+09:00,tablet,2
O00000135,V00000068,2026-02-11T08:49:16+09:00,tablet,1
O00000136,V00000068,2026-02-11T10:02:41+09:00,tablet,2
O00000137,V00000069,2026-02-11T21:31:32+09:00,tablet,1
O00000138,V00000070,2026-02-11T15:24:06+09:00,tablet,1
O00000139,V00000070,2026-02-11T15:55:17+09:00,tablet,2
O00000140,V00000071,2026-02-11T15:57:12+09:00,tablet,1
O00000141,V00000071,2026-02-11T16:19:03+09:00,tablet,2
O00000142,V00000071,2026-02-11T17:38:11+09:00,tablet,3
O00000143,V00000072,2026-02-11T08:49:00+09:00,tablet,1
O00000144,V00000073,2026-02-11T12:09:38+09:00,tablet,1
O00000145,V00000073,2026-02-11T13:40:00+09:00,tablet,2
O00000146,V00000074,2025-01-01T08:26:56+09:00,tablet,1
O00000147,V00000075,2025-01-01T08:40:51+09:00,tablet,1
O00000148,V00000075,2025-01-01T08:45:21+09:00,tablet,2
O00000149,V00000076,2025-01-01T12:30:31+09:00,tablet,1
O00000150,V00000076,2025-01-01T12:36:07+09:00,tablet,2
O00000151,V00000076,2025-01-01T13:02:11+09:00,tablet,3
O00000152,V00000077,2025-01-01T17:56:02+09:00,tablet,1
O00000153,V00000078,2025-01-01T15:07:59+09:00,tablet,1
O00000154,V00000078,2025-01-01T15:14:13+09:00,tablet,2
O00000155,V00000079,2025-01-01T14:24:20+09:00,tablet,1
O00000156,V00000079,2025-01-01T14:27:40+09:00,tablet,2
O00000157,V00000079,2025-01-01T14:45:23+09:00,tablet,3
O00000158,V00000080,2025-01-01T13:29:33+09:00,tablet,1
O00000159,V00000080,2025-01-01T13:34:00+09:00,tablet,2
O00000160,V00000081,2025-01-01T15:13:50+09:00,tablet,1
O00000161,V00000081,2025-01-01T15:17:14+09:00,tablet,2
O00000162,V00000081,2025-01-01T15:25:39+09:00,tablet,3
O00000163,V00000082,2025-01-01T09:54:11+09:00,tablet,1
O00000164,V00000083,2025-01-01T16:11:02+09:00,tablet,1
O00000165,V00000083,2025-01-01T16:38:04+09:00,tablet,2
O00000166,V00000084,2025-01-01T16:05:03+09:00,tablet,1
O00000167,V00000084,2025-01-01T16:34:22+09:00,tablet,2
O00000168,V00000084,2025-01-01T16:54:12+09:00,tablet,3
O00000169,V00000085,2025-01-01T16:36:00+09:00,tablet,1
O00000170,V00000086,2025-01-01T12:00:18+09:00,tablet,1
O00000171,V00000086,2025-01-01T12:16:34+09:00,tablet,2
O00000172,V00000087,2025-01-01T07:53:06+09:00,tablet,1
O00000173,V00000087,2025-01-01T08:00:13+09:00,tablet,2
O00000174,V00000087,2025-01-01T08:34:13+09:00,tablet,3
O00000175,V00000088,2025-01-01T12:11:34+09:00,tablet,1
O00000176,V00000088,2025-01-01T12:41:44+09:00,tablet,2
O00000177,V00000088,2025-01-01T12:55:05+09:00,tablet,3
O00000178,V00000089,2025-01-01T15:56:35+09:00,tablet,1
O00000179,V00000089,2025-01-01T16:01:28+09:00,tablet,2
O00000180,V00000090,2025-01-01T18:38:40+09:00,tablet,1
O00000181,V00000090,2025-01-01T19:19:39+09:00,tablet,2
O00000182,V00000091,2025-01-01T20:06:49+09:00,tablet,1
O00000183,V00000091,2025-01-01T20:07:20+09:00,tablet,2
O00000184,V00000091,2025-01-01T21:04:30+09:00,tablet,3
O00000185,V00000092,2025-01-01T20:46:33+09:00,tablet,1
O00000186,V00000092,2025-01-01T21:40:35+09:00,tablet,2
O00000187,V00000092,2025-01-01T21:49:04+09:00,tablet,3
O00000188,V00000093,2025-01-01T14:15:40+09:00,tablet,1
O00000189,V00000094,2025-01-01T08:57:34+09:00,tablet,1
O00000190,V00000095,2025-01-01T16:00:45+09:00,tablet,1
O00000191,V00000095,2025-01-01T16:37:54+09:00,tablet,2
O00000192,V00000096,2025-01-01T15:38:48+09:00,tablet,1
O00000193,V00000096,2025-01-01T15:46:42+09:00,tablet,2
O00000194,V00000096,2025-01-01T17:11:42+09:00,tablet,3
O00000195,V00000097,2025-01-01T08:04:41+09:00,tablet,1
O00000196,V00000097,2025-01-01T08:50:50+09:00,tablet,2
O00000197,V00000097,2025-01-01T09:27:02+09:00,tablet,3
O00000198,V00000098,2025-01-01T11:16:27+09:00,tablet,1
