order_item_id,order_id,menu_item_id,qty,unit_price_yen_at_order,line_subtotal_yen,status,served_at,cook_time_sec,is_kids_item
OI00000001,O00000001,M001,1,680,680,served,2026-02-10T15:32:50+09:00,1011,0
OI00000002,O00000001,M003,3,520,1560,served,2026-02-10T15:34:33+09:00,1114,0
OI00000003,O00000001,M004,1,980,980,served,2026-02-10T15:25:50+09:00,591,0
OI00000004,O00000002,M004,2,980,1960,served,2026-02-10T19:57:04+09:00,418,0
OI00000005,O00000002,M104,3,800,2400,served,2026-02-10T19:54:24+09:00,258,0
OI00000006,O00000002,M004,2,980,1960,served,2026-02-10T20:01:15+09:00,669,0
OI00000007,O00000003,M104,1,800,800,served,2026-02-10T20:53:32+09:00,250,0
OI00000008,O00000003,M003,2,520,1040,served,2026-02-10T21:03:52+09:00,870,0
OI00000009,O00000003,M003,1,520,520,served,2026-02-10T21:02:22+09:00,780,0
OI00000010,O00000003,M001,2,680,1360,served,2026-02-10T20:58:37+09:00,555,0
OI00000011,O00000004,M001,2,680,1360,served,2026-02-10T21:16:00+09:00,658,0
OI00000012,O00000004,M003,3,520,1560,served,2026-02-10T21:20:28+09:00,926,0
OI00000013,O00000004,M001,3,680,2040,served,2026-02-10T21:11:46+09:00,404,0
OI00000014,O00000005,M001,1,680,680,served,2026-02-10T21:42:32+09:00,588,0
OI00000015,O00000005,M203,1,520,520,served,2026-02-10T21:40:06+09:00,442,0
OI00000016,O00000005,M104,3,800,2400,served,2026-02-10T21:46:19+09:00,815,0
OI00000017,O00000005,M004,3,980,2940,served,2026-02-10T21:45:09+09:00,745,0
OI00000018,O00000006,M104,2,800,1600,served,2026-02-10T20:35:12+09:00,555,0
OI00000019,O00000007,M001,1,680,680,served,2026-02-10T08:42:42+09:00,788,0
OI00000020,O00000008,M006,1,450,450,served,2026-02-10T09:01:53+09:00,605,1
OI00000021,O00000008,M001,2,680,1360,served,2026-02-10T09:05:30+09:00,822,0
OI00000022,O00000009,M203,1,520,520,served,2026-02-10T09:37:50+09:00,858,0
OI00000023,O00000009,M001,1,680,680,served,2026-02-10T09:28:57+09:00,325,0
OI00000024,O00000009,M003,1,520,520,served,2026-02-10T09:35:34+09:00,722,0
OI00000025,O00000009,M005,1,390,390,served,2026-02-10T09:29:54+09:00,382,1
OI00000026,O00000010,M003,3,520,1560,served,2026-02-10T08:49:51+09:00,949,0
OI00000027,O00000010,M005,3,390,1170,served,2026-02-10T08:45:55+09:00,713,1
OI00000028,O00000010,M002,2,780,1560,served,2026-02-10T08:52:54+09:00,1132,0
OI00000029,O00000011,M004,1,980,980,served,2026-02-10T08:52:28+09:00,858,0
OI00000030,O00000011,M104,2,800,1600,served,2026-02-10T08:54:00+09:00,950,0
OI00000031,O00000012,M203,1,520,520,served,2026-02-10T09:30:22+09:00,568,0
OI00000032,O00000012,M004,3,980,2940,served,2026-02-10T09:25:42+09:00,288,0
OI00000033,O00000012,M003,1,520,520,served,2026-02-10T09:35:38+09:00,884,0
OI00000034,O00000013,M005,1,390,390,served,2026-02-10T11:14:11+09:00,829,1
OI00000035,O00000013,M203,1,520,520,served,2026-02-10T11:12:51+09:00,749,0
OI00000036,O00000014,M002,3,780,2340,served,2026-02-10T11:54:58+09:00,777,0
OI00000037,O00000015,M104,3,800,2400,served,2026-02-10T08:04:44+09:00,1024,0
OI00000038,O00000016,M001,3,680,2040,served,2026-02-10T08:29:05+09:00,280,0
OI00000039,O00000016,M004,2,980,1960,served,2026-02-10T08:39:36+09:00,911,0
OI00000040,O00000017,M004,1,980,980,served,2026-02-10T08:42:43+09:00,942,0
OI00000041,O00000018,M004,2,980,1960,served,2026-02-10T13:33:21+09:00,915,0
OI00000042,O00000018,M005,1,390,390,served,2026-02-10T13:27:27+09:00,561,1
OI00000043,O00000018,M004,2,980,1960,served,2026-02-10T13:24:58+09:00,412,0
OI00000044,O00000018,M005,2,390,780,served,2026-02-10T13:36:41+09:00,1115,1
OI00000045,O00000019,M005,3,390,1170,served,2026-02-10T13:57:27+09:00,914,1
OI00000046,O00000019,M005,3,390,1170,served,2026-02-10T13:59:01+09:00,1008,1
OI00000047,O00000020,M003,2,520,1040,served,2026-02-10T14:22:56+09:00,765,0
OI00000048,O00000020,M104,1,800,800,served,2026-02-10T14:18:29+09:00,498,0
OI00000049,O00000020,M104,1,800,800,served,2026-02-10T14:24:40+09:00,869,0
OI00000050,O00000021,M203,2,520,1040,served,2026-02-10T22:21:51+09:00,1111,0
OI00000051,O00000021,M003,1,520,520,served,2026-02-10T22:14:32+09:00,672,0
OI00000052,O00000022,M005,1,390,390,served,2026-02-10T16:58:58+09:00,1014,1
OI00000053,O00000023,M203,1,520,520,served,2026-02-10T17:07:42+09:00,548,0
OI00000054,O00000023,M004,1,980,980,served,2026-02-10T17:03:25+09:00,291,0
OI00000055,O00000023,M203,1,520,520,served,2026-02-10T17:09:26+09:00,652,0
OI00000056,O00000024,M006,3,450,1350,served,2026-02-10T13:11:30+09:00,512,1
OI00000057,O00000024,M004,2,980,1960,served,2026-02-10T13:09:10+09:00,372,0
OI00000058,O00000024,M104,1,800,800,served,2026-02-10T13:10:00+09:00,422,0
OI00000059,O00000024,M203,1,520,520,served,2026-02-10T13:21:11+09:00,1093,0
OI00000060,O00000025,M003,1,520,520,served,2026-02-10T13:28:07+09:00,971,0
OI00000061,O00000025,M001,1,680,680,served,2026-02-10T13:29:31+09:00,1055,0
OI00000062,O00000025,M002,1,780,780,served,2026-02-10T13:16:25+09:00,269,0
OI00000063,O00000026,M004,2,980,1960,served,2026-02-10T12:21:10+09:00,431,0
OI00000064,O00000026,M004,3,980,2940,served,2026-02-10T12:30:09+09:00,970,0
OI00000065,O00000027,M001,2,680,1360,served,2026-02-10T14:30:22+09:00,955,0
OI00000066,O00000027,M005,2,390,780,served,2026-02-10T14:33:44+09:00,1157,1
OI00000067,O00000028,M004,2,980,1960,served,2026-02-10T10:43:37+09:00,899,0
OI00000068,O00000028,M005,1,390,390,served,2026-02-10T10:47:25+09:00,1127,1
OI00000069,O00000029,M004,2,980,1960,served,2026-02-10T12:06:27+09:00,908,0
OI00000070,O00000029,M006,3,450,1350,served,2026-02-10T11:56:56+09:00,337,1
OI00000071,O00000029,M005,2,390,780,served,2026-02-10T11:59:53+09:00,514,1
OI00000072,O00000029,M004,2,980,1960,served,2026-02-10T12:09:56+09:00,1117,0
OI00000073,O00000030,M001,3,680,2040,served,2026-02-10T12:17:42+09:00,627,0
OI00000074,O00000030,M002,2,780,1560,served,2026-02-10T12:12:08+09:00,293,0
OI00000075,O00000030,M003,2,520,1040,served,2026-02-10T12:26:55+09:00,1180,0
OI00000076,O00000031,M004,2,980,1960,served,2026-02-10T17:49:27+09:00,941,0
OI00000077,O00000032,M002,1,780,780,served,2026-02-10T10:26:47+09:00,1107,0
OI00000078,O00000033,M003,3,520,1560,served,2026-02-10T10:36:53+09:00,260,0
OI00000079,O00000033,M104,3,800,2400,served,2026-02-10T10:38:52+09:00,379,0
OI00000080,O00000034,M203,3,520,1560,served,2026-02-10T11:34:53+09:00,692,0
OI00000081,O00000035,M001,1,680,680,served,2026-02-10T12:31:57+09:00,459,0
OI00000082,O00000036,M004,3,980,2940,served,2026-02-10T13:59:54+09:00,353,0
OI00000083,O00000036,M002,1,780,780,served,2026-02-10T14:08:29+09:00,868,0
OI00000084,O00000036,M104,3,800,2400,served,2026-02-10T13:59:01+09:00,300,0
OI00000085,O00000036,M001,2,680,1360,served,2026-02-10T14:10:46+09:00,1005,0
OI00000086,O00000037,M004,2,980,1960,served,2026-02-10T11:24:48+09:00,513,0
OI00000087,O00000037,M006,2,450,900,served,2026-02-10T11:32:05+09:00,950,1
OI00000088,O00000037,M005,3,390,1170,served,2026-02-10T11:22:22+09:00,367,1
OI00000089,O00000037,M003,2,520,1040,served,2026-02-10T11:28:12+09:00,717,0
OI00000090,O00000038,M104,2,800,1600,served,2026-02-10T16:27:29+09:00,570,0
OI00000091,O00000038,M003,3,520,1560,served,2026-02-10T16:30:19+09:00,740,0
OI00000092,O00000038,M006,2,450,900,served,2026-02-10T16:32:16+09:00,857,1
OI00000093,O00000039,M104,1,800,800,served,2026-02-10T17:06:02+09:00,525,0
OI00000094,O00000039,M003,1,520,520,served,2026-02-10T17:07:07+09:00,590,0
OI00000095,O00000039,M005,1,390,390,served,2026-02-10T17:01:48+09:00,271,1
OI00000096,O00000040,M005,2,390,780,served,2026-02-10T16:51:45+09:00,678,1
