receipt_id,visit_id,paid_at,payment_method,customer_id,subtotal_yen,discount_total_yen,tax_rate_applied,tax_rate_hist_id,tax_yen,total_yen,applied_discount_ids,points_earned,points_used
R00000001,V00000001,2026-02-10T15:54:33+09:00,card,,3220,261,0.08,TH00000003,237,3196,D001|D002,0,0
R00000002,V00000002,2026-02-10T21:12:52+09:00,cash,,10040,602,0.08,TH00000003,755,10193,D001|D002,0,0
R00000003,V00000003,2026-02-10T21:57:19+09:00,card,C00000001,11500,675,0.08,TH00000003,866,11691,D001|D002,0,0
R00000004,V00000004,2026-02-10T20:55:12+09:00,qr,,1600,180,0.08,TH00000003,114,1534,D001|D002,0,0
R00000005,V00000005,2026-02-10T09:44:50+09:00,cash,,4600,330,0.08,TH00000003,342,4612,D001|D002,0,0
R00000006,V00000006,2026-02-10T09:53:38+09:00,cash,,10850,643,0.08,TH00000003,817,11024,D001|D002,0,0
R00000007,V00000007,2026-02-10T12:14:58+09:00,cash,C00000002,3250,263,0.08,TH00000003,239,3226,D001|D002,0,0
R00000008,V00000008,2026-02-10T08:48:43+09:00,qr,C00000003,7380,469,0.08,TH00000003,553,7464,D001|D002,0,0
R00000009,V00000009,2026-02-10T14:34:40+09:00,qr,,10070,604,0.08,TH00000003,757,10223,D001|D002,0,0
R00000010,V00000010,2026-02-10T22:32:51+09:00,cash,C00000004,1560,178,0.08,TH00000003,111,1493,D001|D002,0,0
R00000011,V00000011,2026-02-10T17:16:26+09:00,cash,C00000005,2410,221,0.08,TH00000003,175,2364,D001|D002,0,0
R00000012,V00000012,2026-02-10T13:42:31+09:00,card,,6610,431,0.08,TH00000003,494,6673,D001|D002,0,0
R00000013,V00000013,2026-02-10T12:50:09+09:00,qr,,4900,345,0.08,TH00000003,364,4919,D001|D002,0,0
R00000014,V00000014,2026-02-10T14:41:44+09:00,qr,,2140,207,0.08,TH00000003,155,2088,D001|D002,0,0
R00000015,V00000015,2026-02-10T12:44:55+09:00,card,,13040,752,0.08,TH00000003,983,13271,D001|D002,0,0
R00000016,V00000016,2026-02-10T18:03:27+09:00,card,C00000006,1960,198,0.08,TH00000003,141,1903,D001|D002,0,0
R00000017,V00000017,2026-02-10T11:46:53+09:00,card,,6300,415,0.08,TH00000003,471,6356,D001|D002,0,0
R00000018,V00000018,2026-02-10T14:22:46+09:00,cash,,8160,508,0.08,TH00000003,612,8264,D001|D002,0,0
R00000019,V00000019,2026-02-10T11:39:05+09:00,cash,,5070,354,0.08,TH00000003,377,5093,D001|D002,0,0
R00000020,V00000020,2026-02-10T17:16:07+09:00,cash,,5770,389,0.08,TH00000003,430,5811,D001|D002,0,0
R00000021,V00000021,2026-02-10T18:33:51+09:00,cash,,10490,625,0.08,TH00000003,789,10654,D001|D002,0,0
R00000022,V00000022,2026-02-10T12:05:37+09:00,cash,,7600,480,0.08,TH00000003,570,7690,D001|D002,0,0
R00000023,V00000023,2026-02-10T18:43:14+09:00,qr,C00000007,3220,261,0.08,TH00000003,237,3196,D001|D002,0,0
R00000024,V00000024,2026-02-10T16:14:29+09:00,cash,,3640,282,0.08,TH00000003,269,3627,D001|D002,0,0
R00000025,V00000025,2026-02-10T17:47:45+09:00,card,,3240,262,0.08,TH00000003,238,3216,D001|D002,0,0
R00000026,V00000026,2026-02-10T15:03:44+09:00,qr,,3470,274,0.08,TH00000003,256,3452,D001|D002,0,0
R00000027,V00000027,2026-02-10T17:21:19+09:00,card,,780,139,0.08,TH00000003,51,692,D001|D002,0,0
R00000028,V00000028,2026-02-10T19:34:43+09:00,qr,,5010,351,0.08,TH00000003,373,5032,D001|D002,0,0
R00000029,V00000029,2026-02-10T10:19:00+09:00,qr,,5280,364,0.08,TH00000003,393,5309,D001|D002,0,0
R00000030,V00000030,2026-02-10T11:29:51+09:00,qr,,5270,364,0.08,TH00000003,392,5298,D001|D002,0,0
R00000031,V00000031,2026-02-10T17:10:26+09:00,cash,,6040,402,0.08,TH00000003,451,6089,D001|D002,0,0
R00000032,V00000032,2026-02-10T16:14:40+09:00,card,,5280,364,0.08,TH00000003,393,5309,D001|D002,0,0
R00000033,V00000033,2026-02-11T18:43:38+09:00,card,,13020,751,0.08,TH00000003,982,13251,D001|D002,0,0
R00000034,V00000034,2026-02-11T19:59:38+09:00,cash,C00000008,9530,577,0.08,TH00000003,716,9669,D001|D002,0,0
R00000035,V00000035,2026-02-11T18:16:37+09:00,card,C00000009,3980,299,0.08,TH00000003,294,3975,D001|D002,0,0
R00000036,V00000036,2026-02-11T10:12:20+09:00,cash,,8850,543,0.08,TH00000003,665,8972,D001|D002,0,0
R00000037,V00000037,2026-02-11T18:54:24+09:00,cash,,9450,573,0.08,TH00000003,710,9587,D001|D002,0,0
R00000038,V00000038,2026-02-11T14:55:24+09:00,qr,,8120,506,0.08,TH00000003,609,8223,D001|D002,0,0
R00000039,V00000039,2026-02-11T14:55:39+09:00,qr,,9050,553,0.08,TH00000003,680,9177,D001|D002,0,0
R00000040,V00000040,2026-02-11T11:28:19+09:00,cash,,7610,481,0.08,TH00000003,570,7699,D001|D002,0,0
R00000041,V00000041,2026-02-11T14:51:08+09:00,card,C00000010,10270,614,0.08,TH00000003,772,10428,D001|D002,0,0
R00000042,V00000042,2026-02-11T10:57:39+09:00,card,,5160,358,0.08,TH00000003,384,5186,D001|D002,0,0
R00000043,V00000043,2026-02-11T22:11:33+09:00,qr,,3750,288,0.08,TH00000003,277,3739,D001|D002,0,0
R00000044,V00000044,2026-02-11T20:48:06+09:00,qr,C00000011,8200,510,0.08,TH00000003,615,8305,D001|D002,0,0
R00000045,V00000045,2026-02-11T20:39:09+09:00,qr,C00000012,7480,474,0.08,TH00000003,560,7566,D001|D002,0,0
R00000046,V00000046,2026-02-11T12:26:25+09:00,card,,2940,247,0.08,TH00000003,215,2908,D001|D002,0,0
R00000047,V00000047,2026-02-11T16:30:41+09:00,cash,,4940,347,0.08,TH00000003,367,4960,D001|D002,0,0
R00000048,V00000048,2026-02-11T11:56:10+09:00,card,,11420,671,0.08,TH00000003,860,11609,D001|D002,0,0
R00000049,V00000049,2026-02-11T14:49:30+09:00,cash,,11720,686,0.08,TH00000003,883,11917,D001|D002,0,0
R00000050,V00000050,2026-02-11T12:41:05+09:00,card,,14530,827,0.08,TH00000003,1096,14799,D001|D002,0,0
R00000051,V00000051,2026-02-11T11:54:16+09:00,qr,C00000013,5730,387,0.08,TH00000003,427,5770,D001|D002,0,0
R00000052,V00000052,2026-02-11T18:04:42+09:00,card,,1230,162,0.08,TH00000003,85,1153,D001|D002,0,0
R00000053,V00000053,2026-02-11T13:24:21+09:00,card,,4790,340,0.08,TH00000003,356,4806,D001|D002,0,0
R00000054,V00000054,2026-02-11T12:00:02+09:00,cash,,6160,408,0.08,TH00000003,460,6212,D001|D002,0,0
R00000055,V00000055,2026-02-11T15:20:02+09:00,card,C00000014,11560,678,0.08,TH00000003,871,11753,D001|D002,0,0
R00000056,V00000056,2026-02-11T10:04:35+09:00,card,,1560,178,0.08,TH00000003,111,1493,D001|D002,0,0
R00000057,V00000057,2026-02-11T08:53:20+09:00,qr,,390,120,0.08,TH00000003,22,292,D001|D002,0,0
R00000058,V00000058,2026-02-11T18:36:50+09:00,qr,C00000015,8900,545,0.08,TH00000003,668,9023,D001|D002,0,0
R00000059,V00000059,2026-02-11T14:20:33+09:00,card,C00000016,14200,810,0.08,TH00000003,1071,14461,D001|D002,0,0
R00000060,V00000060,2026-02-11T14:43:05+09:00,card,,4500,325,0.08,TH00000003,334,4509,D001|D002,0,0
R00000061,V00000061,2026-02-11T10:46:37+09:00,qr,,1690,185,0.08,TH00000003,120,1625,D001|D002,0,0
R00000062,V00000062,2026-02-11T10:29:23+09:00,qr,,4230,312,0.08,TH00000003,313,4231,D001|D002,0,0
R00000063,V00000063,2026-02-11T09:56:43+09:00,qr,,7560,478,0.08,TH00000003,567,7649,D001|D002,0,0
R00000064,V00000064,2026-02-11T10:50:25+09:00,cash,,4760,338,0.08,TH00000003,354,4776,D001|D002,0,0
R00000065,V00000065,2026-02-11T09:47:47+09:00,qr,,1600,180,0.08,TH00000003,114,1534,D001|D002,0,0
R00000066,V00000066,2026-02-11T13:31:00+09:00,card,,8270,514,0.08,TH00000003,620,8376,D001|D002,0,0
R00000067,V00000067,2026-02-11T17:38:53+09:00,card,,7020,451,0.08,TH00000003,526,7095,D001|D002,0,0
R00000068,V00000068,2026-02-11T10:17:55+09:00,card,C00000017,5080,354,0.08,TH00000003,378,5104,D001|D002,0,0
R00000069,V00000069,2026-02-11T22:00:32+09:00,qr,,6560,428,0.08,TH00000003,491,6623,D001|D002,0,0
R00000070,V00000070,2026-02-11T16:16:06+09:00,cash,,3340,267,0.08,TH00000003,246,3319,D001|D002,0,0
R00000071,V00000071,2026-02-11T18:00:27+09:00,card,,9510,576,0.08,TH00000003,715,9649,D001|D002,0,0
R00000072,V00000072,2026-02-11T09:21:01+09:00,card,,2040,202,0.08,TH00000003,147,1985,D001|D002,0,0
R00000073,V00000073,2026-02-11T14:10:29+09:00,qr,,6480,424,0.08,TH00000003,484,6540,D001|D002,0,0
R00000074,V00000074,2025-01-01T08:57:56+09:00,qr,,4990,350,0.08,TH00000003,371,5011,D001|D002,0,0
R00000075,V00000075,2025-01-01T09:15:04+09:00,card,C00000018,7220,461,0.08,TH00000003,541,7300,D001|D002,0,0
R00000076,V00000076,2025-01-01T13:25:50+09:00,qr,C00000019,8210,511,0.08,TH00000003,616,8315,D001|D002,0,0
R00000077,V00000077,2025-01-01T18:25:32+09:00,qr,C00000020,1430,172,0.08,TH00000003,101,1359,D001|D002,0,0
R00000078,V00000078,2025-01-01T15:27:36+09:00,card,,4150,308,0.08,TH00000003,307,4149,D001|D002,0,0
R00000079,V00000079,2025-01-01T15:10:22+09:00,card,,6360,418,0.08,TH00000003,475,6417,D001|D002,0,0
R00000080,V00000080,2025-01-01T13:57:55+09:00,cash,C00000021,4800,340,0.08,TH00000003,357,4817,D001|D002,0,0
R00000081,V00000081,2025-01-01T15:56:11+09:00,qr,,6530,427,0.08,TH00000003,488,6591,D001|D002,0,0
R00000082,V00000082,2025-01-01T10:27:33+09:00,cash,C00000022,4540,327,0.08,TH00000003,337,4550,D001|D002,0,0
R00000083,V00000083,2025-01-01T16:57:52+09:00,card,,5880,394,0.08,TH00000003,439,5925,D001|D002,0,0
R00000084,V00000084,2025-01-01T17:18:31+09:00,card,,9840,592,0.08,TH00000003,740,9988,D001|D002,0,0
R00000085,V00000085,2025-01-01T16:52:32+09:00,card,C00000023,2500,225,0.08,TH00000003,182,2457,D001|D002,0,0
R00000086,V00000086,2025-01-01T12:43:16+09:00,card,,9880,594,0.08,TH00000003,743,10029,D001|D002,0,0
R00000087,V00000087,2025-01-01T09:09:20+09:00,cash,,10710,636,0.08,TH00000003,806,10880,D001|D002,0,0
R00000088,V00000088,2025-01-01T13:19:54+09:00,card,,13610,781,0.08,TH00000003,1026,13855,D001|D002,0,0
R00000089,V00000089,2025-01-01T16:32:17+09:00,cash,,3550,278,0.08,TH00000003,262,3534,D001|D002,0,0
R00000090,V00000090,2025-01-01T19:48:06+09:00,qr,,8070,504,0.08,TH00000003,605,8171,D001|D002,0,0
R00000091,V00000091,2025-01-01T21:31:16+09:00,cash,,9360,568,0.08,TH00000003,703,9495,D001|D002,0,0
R00000092,V00000092,2025-01-01T22:12:31+09:00,qr,,7220,461,0.08,TH00000003,541,7300,D001|D002,0,0
R00000093,V00000093,2025-01-01T14:51:23+09:00,cash,,2340,217,0.08,TH00000003,170,2293,D001|D002,0,0
R00000094,V00000094,2025-01-01T09:25:33+09:00,qr,,2340,217,0.08,TH00000003,170,2293,D001|D002,0,0
R00000095,V00000095,2025-01-01T17:09:35+09:00,qr,,4650,333,0.08,TH00000003,345,4662,D001|D002,0,0
R00000096,V00000096,2025-01-01T17:42:29+09:00,card,,8120,506,0.08,TH00000003,609,8223,D001|D002,0,0
R00000097,V00000097,2025-01-01T09:51:46+09:00,card,,11020,651,0.08,TH00000003,830,11199,D001|D002,0,0
R00000098,V00000098,2025-01-01T11:46:59+09:00,card,,2130,207,0.08,TH00000003,154,2077,D001|D002,0,0
R00000099,V00000099,2025-01-01T20:31:07+09:00,card,,5560,378,0.08,TH00000003,415,5597,D001|D002,0,0
R00000100,V00000100,2025-01-01T12:22:45+09:00,card,,5000,350,0.08,TH00000003,372,5022,D001|D002,0,0
