visit_id,store_id,table_id,seated_at,left_at,adult_cnt,child_cnt,visit_date,day_of_week,time_slot
V00000001,S001,T17,2026-02-10T14:55:47+09:00,2026-02-10T15:35:47+09:00,1,0,2026-02-10,1,lunch
V00000002,S001,T30,2026-02-10T19:50:06+09:00,2026-02-10T21:38:06+09:00,1,1,2026-02-10,1,evening
V00000003,S001,T22,2026-02-10T21:05:02+09:00,2026-02-10T22:16:02+09:00,3,1,2026-02-10,1,evening
V00000004,S001,T29,2026-02-10T19:31:28+09:00,2026-02-10T21:09:28+09:00,2,0,2026-02-10,1,evening
V00000005,S001,T11,2026-02-10T08:29:34+09:00,2026-02-10T10:08:34+09:00,3,0,2026-02-10,1,morning
V00000006,S001,T25,2026-02-10T08:34:02+09:00,2026-02-10T10:25:02+09:00,4,2,2026-02-10,1,morning
V00000007,S001,T19,2026-02-10T11:00:22+09:00,2026-02-10T12:00:22+09:00,2,2,2026-02-10,1,lunch
V00000008,S001,T12,2026-02-10T07:47:40+09:00,2026-02-10T08:54:40+09:00,1,0,2026-02-10,1,morning
V00000009,S001,T24,2026-02-10T13:18:06+09:00,2026-02-10T14:15:06+09:00,2,1,2026-02-10,1,lunch
V00000010,S001,T30,2026-02-10T21:26:04+09:00,2026-02-10T22:08:04+09:00,1,0,2026-02-10,1,evening
V00000011,S002,T15,2026-02-10T16:42:04+09:00,2026-02-10T18:31:04+09:00,4,0,2026-02-10,1,afternoon
V00000012,S002,T24,2026-02-10T13:02:58+09:00,2026-02-10T14:30:58+09:00,4,2,2026-02-10,1,lunch
V00000013,S002,T18,2026-02-10T11:40:27+09:00,2026-02-10T13:19:27+09:00,1,2,2026-02-10,1,lunch
V00000014,S002,T04,2026-02-10T13:21:24+09:00,2026-02-10T15:08:24+09:00,3,2,2026-02-10,1,lunch
V00000015,S002,T02,2026-02-10T10:28:38+09:00,2026-02-10T12:16:38+09:00,4,2,2026-02-10,1,morning
V00000016,S002,T28,2026-02-10T16:07:50+09:00,2026-02-10T17:59:50+09:00,2,0,2026-02-10,1,afternoon
V00000017,S002,T03,2026-02-10T10:08:20+09:00,2026-02-10T11:57:20+09:00,4,0,2026-02-10,1,morning
V00000018,S002,T07,2026-02-10T12:24:18+09:00,2026-02-10T14:01:18+09:00,1,1,2026-02-10,1,lunch
V00000019,S002,T01,2026-02-10T10:59:58+09:00,2026-02-10T11:43:58+09:00,3,1,2026-02-10,1,morning
V00000020,S002,T21,2026-02-10T16:17:59+09:00,2026-02-10T17:12:59+09:00,3,2,2026-02-10,1,afternoon
V00000021,S002,T25,2026-02-10T16:40:27+09:00,2026-02-10T17:56:27+09:00,1,2,2026-02-10,1,afternoon
V00000022,S003,T15,2026-02-10T11:21:10+09:00,2026-02-10T12:06:10+09:00,3,0,2026-02-10,1,lunch
V00000023,S003,T09,2026-02-10T16:40:35+09:00,2026-02-10T18:25:35+09:00,1,1,2026-02-10,1,afternoon
V00000024,S003,T20,2026-02-10T15:35:33+09:00,2026-02-10T16:10:33+09:00,1,2,2026-02-10,1,afternoon
V00000025,S003,T29,2026-02-10T15:59:25+09:00,2026-02-10T17:39:25+09:00,2,0,2026-02-10,1,afternoon
